registration_number,title,objective,annex,current_status,url,timeline_registered,timeline_collection_start_date,timeline_collection_closed,timeline_verification_start,timeline_verification_end,timeline_response_commission_date,timeline,organizer_representative,organizer_entity,organizer_others,funding_total,funding_by,signatures_collected,signatures_collected_by_country,signatures_threshold_met,response_commission_url,final_outcome,languages_available,created_timestamp,last_updated
2012/000001,Fraternité 2020 - Mobility. Progress. Europe.,"F2020 wants to enhance EU exchange programmes – like Erasmus or the European Voluntary Service (EVS) – in order to contribute to a united Europe based on solidarity among citizens.
               
               F2020 suggests three measures to increase mobility: 1) The Commission shall use existing EU funds more consistently to encourage mobility. Also, it shall promote more funds for exchange programmes in the future. Eventually, 10 percent of the EU budget shall be used on these programmes. 2) Increased efforts shall be made for participants to develop intercultural skills, e.g. by offering language classes and classes about the host country's traditions, history, society etc. 3) Progress in the field of mobility shall be better monitored e.g. through Eurostat or Eurobarometer surveys.",,Unsuccessful collection,https://citizens-initiative.europa.eu/initiatives/details/2012/000001_en,09/05/2012,09/05/2012,01/11/2013,,,,"[{""step"":""Registered"",""date"":""09/05/2012""},{""step"":""Collection start date"",""date"":""09/05/2012""},{""step"":""Collection closed"",""date"":""01/11/2013""},{""step"":""Unsuccessful collection"",""date"":""01/11/2013""}]","{""number_of_people"":1,""countries_of_residence"":{""Belgium"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}","7,000.00","[{""name_of_sponsor"":""Allianz Kulturstiftung (https://kulturstiftung.allianz.de/)"",""date"":""21/03/2013"",""amount_in_eur"":""500""},{""name_of_sponsor"":""Fondation Hippocrène (www.fondationhippocrene.eu)"",""date"":""21/02/2013"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Government to You (www.Gov2u.org)"",""date"":""05/09/2012"",""amount_in_eur"":""2,593""},{""name_of_sponsor"":""École Supérieure des Sciences Commerciales d’Angers (www.ESSCA.fr)"",""date"":""12/11/2012"",""amount_in_eur"":""500""},{""name_of_sponsor"":""Government to You (www.Gov2u.org)"",""date"":""05/09/2012"",""amount_in_eur"":""1,777""},{""name_of_sponsor"":""Government to You (www.Gov2u.org)"",""date"":""05/09/2012"",""amount_in_eur"":""630""}]",,,,,Unsuccessful Collection,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:34.428602,2025-12-15T19:12:34.430988
2012/000002,Single Communication Tariff Act,"One unique all-inclusive, monthly flat-rate communication tariff within the boundaries of the European Union
               
               End roaming fees across Europe now, complete the European common market for all mobile phone customers",,Withdrawn,https://citizens-initiative.europa.eu/initiatives/details/2012/000002_en,10/05/2012,10/05/2012,,,,,"[{""step"":""Registered"",""date"":""10/05/2012""},{""step"":""Collection start date"",""date"":""10/05/2012""},{""step"":""Withdrawn"",""date"":""03/12/2012""}]","{""number_of_people"":1,""countries_of_residence"":{""France"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}",,,,,,,Withdrawn,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:34.528551,2025-12-15T19:12:34.529700
2012/000003,"Water and sanitation are a human right!  Water is a public good, not a commodity!","We invite the European Commission to propose legislation implementing the human right to water and sanitation as recognised by the United Nations, and promoting the provision of water and sanitation as essential public services for all
               
               The EU legislation should require governments to ensure and to provide all citizens with sufficient and clean drinking water and sanitation.
               



                We urge that:
                





                1. The EU institutions and Member States be obliged to ensure that all inhabitants enjoy the right to water and sanitation.
                


                2. Water supply and management of water resources not be subject to ‘internal market rules’ and that water services are excluded from liberalisation.
                


                3. The EU increases its efforts to achieve universal access to water and sanitation.",,Answered initiative,https://citizens-initiative.europa.eu/initiatives/details/2012/000003_en,10/05/2012,10/05/2012,01/11/2013,,,19/03/2014,"[{""step"":""Registered"",""date"":""10/05/2012""},{""step"":""Collection start date"",""date"":""10/05/2012""},{""step"":""Collection closed"",""date"":""01/11/2013""},{""step"":""Valid initiative"",""date"":""20/12/2013""},{""step"":""Answered initiative"",""date"":""19/03/2014""}]","{""number_of_people"":1,""countries_of_residence"":{""France"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}","140,000.00","[{""name_of_sponsor"":""European Federation of Public Service Unions (EPSU)"",""date"":""28/11/2013"",""amount_in_eur"":""20,000""},{""name_of_sponsor"":""European Federation of Public Service Unions (EPSU)"",""date"":""18/04/2013"",""amount_in_eur"":""20,000""},{""name_of_sponsor"":""European Federation of Public Service Unions (EPSU)"",""date"":""03/04/2012"",""amount_in_eur"":""100,000""}]","1,659,543","{""Austria"":{""statements_of_support"":""57,643"",""threshold"":""14,250"",""percentage"":""404.51%""},""Belgium"":{""statements_of_support"":""40,549"",""threshold"":""16,500"",""percentage"":""245.75%""},""Bulgaria"":{""statements_of_support"":""1,406"",""threshold"":""13,500"",""percentage"":""10.41%""},""Cyprus"":{""statements_of_support"":""2,924"",""threshold"":""4,500"",""percentage"":""64.98%""},""Czechia"":{""statements_of_support"":""7,575"",""threshold"":""16,500"",""percentage"":""45.91%""},""Denmark"":{""statements_of_support"":""3,495*"",""threshold"":""9,750"",""percentage"":""35.85%""},""Estonia"":{""statements_of_support"":""516"",""threshold"":""4,500"",""percentage"":""11.47%""},""Finland"":{""statements_of_support"":""14,589"",""threshold"":""9,750"",""percentage"":""149.63%""},""France"":{""statements_of_support"":""17,247*"",""threshold"":""55,500"",""percentage"":""31.08%""},""Germany"":{""statements_of_support"":""1,236,455"",""threshold"":""74,250"",""percentage"":""1,665.26%""},""Greece"":{""statements_of_support"":""33,220"",""threshold"":""16,500"",""percentage"":""201.33%""},""Hungary"":{""statements_of_support"":""18,245"",""threshold"":""16,500"",""percentage"":""110.58%""},""Ireland"":{""statements_of_support"":""2,513"",""threshold"":""9,000"",""percentage"":""27.92%""},""Italy"":{""statements_of_support"":""65,223"",""threshold"":""54,750"",""percentage"":""119.13%""},""Latvia"":{""statements_of_support"":""393"",""threshold"":""6,750"",""percentage"":""5.82%""},""Lithuania"":{""statements_of_support"":""13,252"",""threshold"":""9,000"",""percentage"":""147.24%""},""Luxembourg"":{""statements_of_support"":""5,566"",""threshold"":""4,500"",""percentage"":""123.69%""},""Malta"":{""statements_of_support"":""1,635"",""threshold"":""4,500"",""percentage"":""36.33%""},""Netherlands"":{""statements_of_support"":""21,469"",""threshold"":""19,500"",""percentage"":""110.10%""},""Poland"":{""statements_of_support"":""3,962"",""threshold"":""38,250"",""percentage"":""10.36%""},""Portugal"":{""statements_of_support"":""13,964"",""threshold"":""16,500"",""percentage"":""84.63%""},""Romania"":{""statements_of_support"":""3,176"",""threshold"":""24,750"",""percentage"":""12.83%""},""Slovakia"":{""statements_of_support"":""20,988"",""threshold"":""9,750"",""percentage"":""215.26%""},""Slovenia"":{""statements_of_support"":""17,546"",""threshold"":""6,000"",""percentage"":""292.43%""},""Spain"":{""statements_of_support"":""58,051"",""threshold"":""40,500"",""percentage"":""143.34%""},""Sweden"":{""statements_of_support"":""11,579"",""threshold"":""15,000"",""percentage"":""77.19%""},""United Kingdom"":{""statements_of_support"":""7,104"",""threshold"":""54,750"",""percentage"":""12.98%""}}",13,https://europa.eu/citizens-initiative/water-and-sanitation-are-human-right-water-public-good-not-commodity_en,Commission Response,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:34.651378,2025-12-15T19:12:34.653260
2012/000004,EU Directive on Dairy Cow Welfare,"An EU Directive to improve welfare of the EU’s 23m dairy cows, create a level playing field and guarantee minimum standards enable improvements as seen with legislation for pigs and poultry.
               
               We seek to inspire and mobilise European citizens to call for a specific directive that guarantees improved animal welfare for dairy cows. By petitioning the Commission through the ECI, we can convey citizens’ desire for policy change around dairy cow welfare.
               






                Our petition focuses on bringing targeted legislation that covers four key areas of cow’s welfare based on the EU Welfare Quality® principles:
                





                - Good housing
                


                - Good health
                


                - Good feeding
                


                - Appropriate behaviour",,Withdrawn,https://citizens-initiative.europa.eu/initiatives/details/2012/000004_en,10/05/2012,10/05/2012,,,,,"[{""step"":""Registered"",""date"":""10/05/2012""},{""step"":""Collection start date"",""date"":""10/05/2012""},{""step"":""Withdrawn"",""date"":""20/07/2012""}]","{""number_of_people"":1,""countries_of_residence"":{""Italy"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}","345,567.00","[{""name_of_sponsor"":""Ben and Jerry's"",""date"":""11/04/2012"",""amount_in_eur"":""90,934""},{""name_of_sponsor"":""Compassion in World Farming"",""date"":""11/04/2012"",""amount_in_eur"":""72,755""},{""name_of_sponsor"":""World Society for the Protection of Animals"",""date"":""11/04/2012"",""amount_in_eur"":""181,878""}]",,,,,Withdrawn,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:34.726032,2025-12-15T19:12:34.727233
2012/000005,One of us,"Juridical protection of the dignity, the right to life and of the integrity of every human being from conception in the areas of EU competence in which such protection is of particular importance
               
               The human embryo deserves respect to its dignity and integrity. This is enounced by the ECJ in the Brüstle case, which defines the human embryo as the beginning of the development of the human being. To ensure consistency in areas of its competence where the life of the human embryo is at stake, the EU should establish a ban and end the financing of activities which presuppose the destruction of human embryos, in particular in the areas of research, development aid and public health.",,Answered initiative,https://citizens-initiative.europa.eu/initiatives/details/2012/000005_en,11/05/2012,11/05/2012,01/11/2013,,,28/05/2014,"[{""step"":""Registered"",""date"":""11/05/2012""},{""step"":""Collection start date"",""date"":""11/05/2012""},{""step"":""Collection closed"",""date"":""01/11/2013""},{""step"":""Valid initiative"",""date"":""28/02/2014""},{""step"":""Answered initiative"",""date"":""28/05/2014""}]","{""number_of_people"":1,""countries_of_residence"":{""France"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}","159,219.00","[{""name_of_sponsor"":""FUNDACION PROVIDA DE CATALUÑA"",""date"":""30/11/2013"",""amount_in_eur"":""5,639""},{""name_of_sponsor"":""FUNDACION VALORES Y SOCIEDAD"",""date"":""10/01/2014"",""amount_in_eur"":""33,000""},{""name_of_sponsor"":""FONDAZIONE VITA NOVA"",""date"":""30/05/2013"",""amount_in_eur"":""70,580""},{""name_of_sponsor"":""FONDAZIONE VITA NOVA"",""date"":""25/03/2012"",""amount_in_eur"":""50,000""}]","1,721,626","{""Austria"":{""statements_of_support"":""24,973"",""threshold"":""14,250"",""percentage"":""175.25%""},""Belgium"":{""statements_of_support"":""5,478"",""threshold"":""16,500"",""percentage"":""33.20%""},""Bulgaria"":{""statements_of_support"":""906"",""threshold"":""13,500"",""percentage"":""6.71%""},""Croatia"":{""statements_of_support"":""12,778"",""threshold"":""9,000"",""percentage"":""141.98%""},""Cyprus"":{""statements_of_support"":""6,407"",""threshold"":""4,500"",""percentage"":""142.38%""},""Czechia"":{""statements_of_support"":""11,468"",""threshold"":""16,500"",""percentage"":""69.50%""},""Denmark"":{""statements_of_support"":""7,563"",""threshold"":""9,750"",""percentage"":""77.57%""},""Estonia"":{""statements_of_support"":""2,417"",""threshold"":""4,500"",""percentage"":""53.71%""},""Finland"":{""statements_of_support"":""1,230"",""threshold"":""9,750"",""percentage"":""12.62%""},""France"":{""statements_of_support"":""83,503"",""threshold"":""55,500"",""percentage"":""150.46%""},""Germany"":{""statements_of_support"":""137,874"",""threshold"":""74,250"",""percentage"":""185.69%""},""Greece"":{""statements_of_support"":""52,977"",""threshold"":""16,500"",""percentage"":""321.07%""},""Hungary"":{""statements_of_support"":""45,933"",""threshold"":""16,500"",""percentage"":""278.38%""},""Ireland"":{""statements_of_support"":""6,679"",""threshold"":""9,000"",""percentage"":""74.21%""},""Italy"":{""statements_of_support"":""623,947"",""threshold"":""54,750"",""percentage"":""1,139.63%""},""Latvia"":{""statements_of_support"":""9,132"",""threshold"":""6,750"",""percentage"":""135.29%""},""Lithuania"":{""statements_of_support"":""11,646"",""threshold"":""9,000"",""percentage"":""129.40%""},""Luxembourg"":{""statements_of_support"":""5,469"",""threshold"":""4,500"",""percentage"":""121.53%""},""Malta"":{""statements_of_support"":""23,017"",""threshold"":""4,500"",""percentage"":""511.49%""},""Netherlands"":{""statements_of_support"":""27,271"",""threshold"":""19,500"",""percentage"":""139.85%""},""Poland"":{""statements_of_support"":""235,964"",""threshold"":""38,250"",""percentage"":""616.90%""},""Portugal"":{""statements_of_support"":""65,564"",""threshold"":""16,500"",""percentage"":""397.36%""},""Romania"":{""statements_of_support"":""110,405"",""threshold"":""24,750"",""percentage"":""446.08%""},""Slovakia"":{""statements_of_support"":""31,951"",""threshold"":""9,750"",""percentage"":""327.70%""},""Slovenia"":{""statements_of_support"":""3,481"",""threshold"":""6,000"",""percentage"":""58.02%""},""Spain"":{""statements_of_support"":""144,827"",""threshold"":""40,500"",""percentage"":""357.60%""},""Sweden"":{""statements_of_support"":""2,468"",""threshold"":""15,000"",""percentage"":""16.45%""},""United Kingdom"":{""statements_of_support"":""26,298"",""threshold"":""54,750"",""percentage"":""48.03%""}}",18,https://europa.eu/citizens-initiative/one-us_en,Commission Response,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:34.861440,2025-12-15T19:12:34.863417
2012/000006,Let me vote,"To strengthen the rights listed in article 20§2 TFEU by granting EU citizens residing in another Member State the right to vote in all political elections in their country of residence, on the same conditions as the nationals of that State.
               
               The goal of the initiative is to develop the political dimension of the European project by reinforcing citizens’ awareness that they share a common destiny. It would have the following effects:
               



                - To enhance the concept of European Citizenship;
                


                - To facilitate freedom of movement within the EU;
                


                In addition, it could contribute to remedying the loss of voting rights presently experienced by a significant number of EU citizens who are long-term residents of other Member States.",,Withdrawn,https://citizens-initiative.europa.eu/initiatives/details/2012/000006_en,11/05/2012,11/05/2012,,,,,"[{""step"":""Registered"",""date"":""11/05/2012""},{""step"":""Collection start date"",""date"":""11/05/2012""},{""step"":""Withdrawn"",""date"":""29/01/2013""}]","{""number_of_people"":1,""countries_of_residence"":{""France"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}",,,,,,,Withdrawn,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:34.994536,2025-12-15T19:12:34.997167
2012/000007,Stop vivisection,"Proposing an European legislative framework aimed at phasing out animal experiments
               
               Considering clear ethical objections to animal experiments and solid scientific principles that invalidate the “animal model” for predicting human response, we urge the European Commission to abrogate directive 2010/63/EU on the protection of animals used for scientific purposes and to present a new proposal that does away with animal experimentation and instead makes compulsory the use - in biomedical and toxicological research - of data directly relevant for the human species",,Answered initiative,https://citizens-initiative.europa.eu/initiatives/details/2012/000007_en,22/06/2012,22/06/2012,01/11/2013,,,03/06/2015,"[{""step"":""Registered"",""date"":""22/06/2012""},{""step"":""Collection start date"",""date"":""22/06/2012""},{""step"":""Collection closed"",""date"":""01/11/2013""},{""step"":""Valid initiative"",""date"":""03/03/2015""},{""step"":""Answered initiative"",""date"":""03/06/2015""}]","{""number_of_people"":1,""countries_of_residence"":{""United Kingdom"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}","23,651.00","[{""name_of_sponsor"":""Antidote Europe"",""date"":""20/01/2015"",""amount_in_eur"":""3,000""},{""name_of_sponsor"":""Private sponsor"",""date"":""24/04/2014"",""amount_in_eur"":""500""},{""name_of_sponsor"":""Antidote Europe"",""date"":""26/05/2014"",""amount_in_eur"":""3,000""},{""name_of_sponsor"":""Private sponsor"",""date"":""04/06/2013"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Private sponsor"",""date"":""15/05/2013"",""amount_in_eur"":""1,150""},{""name_of_sponsor"":""MENSCHEN F.TIERRECHTE TIERV ERSUCHSGE"",""date"":""08/07/2014"",""amount_in_eur"":""500""},{""name_of_sponsor"":""Comitato Europeo Difesa Animali"",""date"":""11/10/2013"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Private sponsor"",""date"":""02/10/2013"",""amount_in_eur"":""600""},{""name_of_sponsor"":""LEAL Lega AntiVivisezionista"",""date"":""09/09/2013"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""LAV Lega Anti Vivisezione"",""date"":""19/09/2013"",""amount_in_eur"":""3,000""},{""name_of_sponsor"":""Partito Animalista Europeo"",""date"":""23/11/2012"",""amount_in_eur"":""2,400""},{""name_of_sponsor"":""Private sponsor"",""date"":""23/10/2012"",""amount_in_eur"":""501""},{""name_of_sponsor"":""Private sponsor"",""date"":""11/10/2012"",""amount_in_eur"":""900""},{""name_of_sponsor"":""Partito animalista europeo"",""date"":""05/07/2012"",""amount_in_eur"":""600""},{""name_of_sponsor"":""LEAL Lega AntiVivisezionista"",""date"":""29/05/2012"",""amount_in_eur"":""3,000""},{""name_of_sponsor"":""Comitato Scientifico Equivita"",""date"":""29/06/2012"",""amount_in_eur"":""1,500""}]","1,173,130","{""Austria"":{""statements_of_support"":""9,208"",""threshold"":""14,250"",""percentage"":""64.62%""},""Bulgaria"":{""statements_of_support"":""12,598"",""threshold"":""13,500"",""percentage"":""93.32%""},""Cyprus"":{""statements_of_support"":""533"",""threshold"":""4,500"",""percentage"":""11.84%""},""Czechia"":{""statements_of_support"":""4,075"",""threshold"":""16,500"",""percentage"":""24.70%""},""Denmark"":{""statements_of_support"":""4,610"",""threshold"":""9,750"",""percentage"":""47.28%""},""Estonia"":{""statements_of_support"":""2,502"",""threshold"":""4,500"",""percentage"":""55.60%""},""Finland"":{""statements_of_support"":""12,495"",""threshold"":""9,750"",""percentage"":""128.15%""},""France"":{""statements_of_support"":""61,818"",""threshold"":""55,500"",""percentage"":""111.38%""},""Germany"":{""statements_of_support"":""164,304"",""threshold"":""74,250"",""percentage"":""221.28%""},""Greece"":{""statements_of_support"":""1,952"",""threshold"":""16,500"",""percentage"":""11.83%""},""Hungary"":{""statements_of_support"":""26,948"",""threshold"":""16,500"",""percentage"":""163.32%""},""Ireland"":{""statements_of_support"":""3,333"",""threshold"":""9,000"",""percentage"":""37.03%""},""Italy"":{""statements_of_support"":""690,325"",""threshold"":""54,750"",""percentage"":""1,260.87%""},""Latvia"":{""statements_of_support"":""3,167"",""threshold"":""6,750"",""percentage"":""46.92%""},""Lithuania"":{""statements_of_support"":""4,737"",""threshold"":""9,000"",""percentage"":""52.63%""},""Luxembourg"":{""statements_of_support"":""1,291"",""threshold"":""4,500"",""percentage"":""28.69%""},""Malta"":{""statements_of_support"":""1,662"",""threshold"":""4,500"",""percentage"":""36.93%""},""Netherlands"":{""statements_of_support"":""9,909"",""threshold"":""19,500"",""percentage"":""50.82%""},""Poland"":{""statements_of_support"":""38,824"",""threshold"":""38,250"",""percentage"":""101.50%""},""Portugal"":{""statements_of_support"":""11,305"",""threshold"":""16,500"",""percentage"":""68.52%""},""Romania"":{""statements_of_support"":""1,645"",""threshold"":""24,750"",""percentage"":""6.65%""},""Slovakia"":{""statements_of_support"":""12,055"",""threshold"":""9,750"",""percentage"":""123.64%""},""Slovenia"":{""statements_of_support"":""19,507"",""threshold"":""6,000"",""percentage"":""325.12%""},""Spain"":{""statements_of_support"":""47,194"",""threshold"":""40,500"",""percentage"":""116.53%""},""Sweden"":{""statements_of_support"":""7,661"",""threshold"":""15,000"",""percentage"":""51.07%""},""United Kingdom"":{""statements_of_support"":""19,472"",""threshold"":""54,750"",""percentage"":""35.57%""}}",9,https://europa.eu/citizens-initiative/stop-vivisection_en,Commission Response,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:35.132551,2025-12-15T19:12:35.134796
2012/000008,High Quality European Education for All,"Europe’s future depends on Education, how to educate citizens, how they learn. Common education goals reflecting EU basic values should be at the heart of a solution to today’s challenges
               
               Establish a multi-stakeholder discussion/collaboration platform where parents, teachers, students, social partners, educators and decision-makers will propose, debate and formulate a European policy for a quality, pluralistic and EU 2020-oriented educational model at primary and secondary level for all Europeans.
               






                Establish a roadmap to implement the above educational model, possibly culminating in a European Baccalaureate, for the benefit of future generations, as foreseen by the Lisbon Treaty",,Unsuccessful collection,https://citizens-initiative.europa.eu/initiatives/details/2012/000008_en,16/07/2012,16/07/2012,01/11/2013,,,,"[{""step"":""Registered"",""date"":""16/07/2012""},{""step"":""Collection start date"",""date"":""16/07/2012""},{""step"":""Collection closed"",""date"":""01/11/2013""},{""step"":""Unsuccessful collection"",""date"":""01/11/2013""}]","{""number_of_people"":1,""countries_of_residence"":{""France"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}","17,000.00","[{""name_of_sponsor"":""Confédération Européenne des Syndicats Indépendants (CESI)"",""date"":""01/07/2013"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""European school, Frankfurt Parents’ Association"",""date"":""11/06/2013"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""European Parents' Association (EPA)"",""date"":""22/04/2013"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Private sponsor"",""date"":""01/01/2013"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""European School, Karlsruhe Parent Association"",""date"":""21/02/2013"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Vereniging Openbaar Onderwijs"",""date"":""16/11/2012"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""UNIVERSITY WOMEN of EUROPE (UWE)"",""date"":""27/07/2012"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""European school, Culham Parents’ Association (CESPA)"",""date"":""19/04/2012"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Private sponsor"",""date"":""01/01/2011"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""European school, Luxembourg Parents’ Association (EEL)"",""date"":""19/04/2012"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Etoile Education"",""date"":""01/01/2011"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Groupe Unitaire pour le Développement des Écoles Européennes (GUDEE)"",""date"":""01/06/2011"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""European School, Varese Parents' Association (AGSEV)"",""date"":""19/04/2012"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Renouvou et Démocratie (R&D)"",""date"":""13/12/2011"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Amicale Education"",""date"":""08/08/2011"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Union for Unity (U4U)"",""date"":""01/06/2011"",""amount_in_eur"":""1,000""},{""name_of_sponsor"":""Tom Hoyem, Headmaster, European School, Karlsruhe (former Danish Minister)"",""date"":""01/01/2011"",""amount_in_eur"":""1,000""}]",,,,,Unsuccessful Collection,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:35.220013,2025-12-15T19:12:35.221245
2012/000009,For responsible management of waste incinerators against,"Propose to the European Commission framework principles to ensure responsible management and treatment of waste by all Member States of the European Union.
               
               This initiative aims to provide the European Commission with a directive applicable in all Member States. Seven principles form the basis of this Directive: Strengthening the sorting of household waste; ban over-packaging, the obligation to use recyclable packaging; banning waste incinerator, and finally the requirement for management and treatment of waste, and technology sectors without environmental impact and health.",,Unsuccessful collection,https://citizens-initiative.europa.eu/initiatives/details/2012/000009_en,16/07/2012,16/07/2012,01/11/2013,,,,"[{""step"":""Registered"",""date"":""16/07/2012""},{""step"":""Collection start date"",""date"":""16/07/2012""},{""step"":""Collection closed"",""date"":""01/11/2013""},{""step"":""Unsuccessful collection"",""date"":""01/11/2013""}]","{""number_of_people"":1,""countries_of_residence"":{""France"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}",,,,,,,Unsuccessful Collection,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:35.295966,2025-12-15T19:12:35.297023
2012/000010,Suspension of the EU Climate & Energy Package.,"Suspend the 2009 EU Climate & Energy Package (excluding energy efficiency clauses) and further climate regulations until a climate agreement is signed by major CO2 emitters - China, USA, and India.
               
               1. To stop EU climate policy wasting hundreds of billions of euros on ineffective unilateral action on the climate at a time of economic crisis.
               



                2. To stop carbon leakage - export of jobs and businesses to developing countries without climate legislation.
                


                3. To make fuel and energy cheaper, increase employment and reduce fuel poverty. This will increase social cohesion and reduce social exclusion.
                


                4. To increase energy security by allowing member states to use their own natural energy resources.",,Unsuccessful collection,https://citizens-initiative.europa.eu/initiatives/details/2012/000010_en,08/08/2012,08/08/2012,01/11/2013,,,,"[{""step"":""Registered"",""date"":""08/08/2012""},{""step"":""Collection start date"",""date"":""08/08/2012""},{""step"":""Collection closed"",""date"":""01/11/2013""},{""step"":""Unsuccessful collection"",""date"":""01/11/2013""}]","{""number_of_people"":1,""countries_of_residence"":{""Poland"":1}}","{""name"":null,""country_of_residence"":null}","{""substitute"":{""number_of_people"":1},""members"":{""number_of_people"":5},""others"":{""number_of_people"":0},""dpo"":{""number_of_people"":0}}","2,500.00","[{""name_of_sponsor"":""EFD Group in EP"",""date"":""11/06/2012"",""amount_in_eur"":""2,500""}]",,,,,Unsuccessful Collection,"bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv",2025-12-15T19:12:35.366973,2025-12-15T19:12:35.368088
