title,registration_number,objective
Fraternité 2020 - Mobility. Progress. Europe.,2012/000001,"F2020 wants to enhance EU exchange programmes – like Erasmus or the European Voluntary Service (EVS) – in order to contribute to a united Europe based on solidarity among citizens.
               
               F2020 suggests three measures to increase mobility: 1) The Commission shall use existing EU funds more consistently to encourage mobility. Also, it shall promote more funds for exchange programmes in the future. Eventually, 10 percent of the EU budget shall be used on these programmes. 2) Increased efforts shall be made for participants to develop intercultural skills, e.g. by offering language classes and classes about the host country's traditions, history, society etc. 3) Progress in the field of mobility shall be better monitored e.g. through Eurostat or Eurobarometer surveys."
Single Communication Tariff Act,2012/000002,"One unique all-inclusive, monthly flat-rate communication tariff within the boundaries of the European Union
               
               End roaming fees across Europe now, complete the European common market for all mobile phone customers"
"Water and sanitation are a human right!  Water is a public good, not a commodity!",2012/000003,"We invite the European Commission to propose legislation implementing the human right to water and sanitation as recognised by the United Nations, and promoting the provision of water and sanitation as essential public services for all
               
               The EU legislation should require governments to ensure and to provide all citizens with sufficient and clean drinking water and sanitation.
               



                We urge that:
                





                1. The EU institutions and Member States be obliged to ensure that all inhabitants enjoy the right to water and sanitation.
                


                2. Water supply and management of water resources not be subject to ‘internal market rules’ and that water services are excluded from liberalisation.
                


                3. The EU increases its efforts to achieve universal access to water and sanitation."
EU Directive on Dairy Cow Welfare,2012/000004,"An EU Directive to improve welfare of the EU’s 23m dairy cows, create a level playing field and guarantee minimum standards enable improvements as seen with legislation for pigs and poultry.
               
               We seek to inspire and mobilise European citizens to call for a specific directive that guarantees improved animal welfare for dairy cows. By petitioning the Commission through the ECI, we can convey citizens’ desire for policy change around dairy cow welfare.
               






                Our petition focuses on bringing targeted legislation that covers four key areas of cow’s welfare based on the EU Welfare Quality® principles:
                





                - Good housing
                


                - Good health
                


                - Good feeding
                


                - Appropriate behaviour"
One of us,2012/000005,"Juridical protection of the dignity, the right to life and of the integrity of every human being from conception in the areas of EU competence in which such protection is of particular importance
               
               The human embryo deserves respect to its dignity and integrity. This is enounced by the ECJ in the Brüstle case, which defines the human embryo as the beginning of the development of the human being. To ensure consistency in areas of its competence where the life of the human embryo is at stake, the EU should establish a ban and end the financing of activities which presuppose the destruction of human embryos, in particular in the areas of research, development aid and public health."
Let me vote,2012/000006,"To strengthen the rights listed in article 20§2 TFEU by granting EU citizens residing in another Member State the right to vote in all political elections in their country of residence, on the same conditions as the nationals of that State.
               
               The goal of the initiative is to develop the political dimension of the European project by reinforcing citizens’ awareness that they share a common destiny. It would have the following effects:
               



                - To enhance the concept of European Citizenship;
                


                - To facilitate freedom of movement within the EU;
                


                In addition, it could contribute to remedying the loss of voting rights presently experienced by a significant number of EU citizens who are long-term residents of other Member States."
Stop vivisection,2012/000007,"Proposing an European legislative framework aimed at phasing out animal experiments
               
               Considering clear ethical objections to animal experiments and solid scientific principles that invalidate the “animal model” for predicting human response, we urge the European Commission to abrogate directive 2010/63/EU on the protection of animals used for scientific purposes and to present a new proposal that does away with animal experimentation and instead makes compulsory the use - in biomedical and toxicological research - of data directly relevant for the human species"
High Quality European Education for All,2012/000008,"Europe’s future depends on Education, how to educate citizens, how they learn. Common education goals reflecting EU basic values should be at the heart of a solution to today’s challenges
               
               Establish a multi-stakeholder discussion/collaboration platform where parents, teachers, students, social partners, educators and decision-makers will propose, debate and formulate a European policy for a quality, pluralistic and EU 2020-oriented educational model at primary and secondary level for all Europeans.
               






                Establish a roadmap to implement the above educational model, possibly culminating in a European Baccalaureate, for the benefit of future generations, as foreseen by the Lisbon Treaty"
For responsible management of waste incinerators against,2012/000009,"Propose to the European Commission framework principles to ensure responsible management and treatment of waste by all Member States of the European Union.
               
               This initiative aims to provide the European Commission with a directive applicable in all Member States. Seven principles form the basis of this Directive: Strengthening the sorting of household waste; ban over-packaging, the obligation to use recyclable packaging; banning waste incinerator, and finally the requirement for management and treatment of waste, and technology sectors without environmental impact and health."
Suspension of the EU Climate & Energy Package.,2012/000010,"Suspend the 2009 EU Climate & Energy Package (excluding energy efficiency clauses) and further climate regulations until a climate agreement is signed by major CO2 emitters - China, USA, and India.
               
               1. To stop EU climate policy wasting hundreds of billions of euros on ineffective unilateral action on the climate at a time of economic crisis.
               



                2. To stop carbon leakage - export of jobs and businesses to developing countries without climate legislation.
                


                3. To make fuel and energy cheaper, increase employment and reduce fuel poverty. This will increase social cohesion and reduce social exclusion.
                


                4. To increase energy security by allowing member states to use their own natural energy resources."
Central public online collection platform for the European Citizen Initiative,2012/000011,"We want to enable all European Citizens to participate in the European politics. Therefore we have to provide a low barrier tool which works instantly and without technical expertise.
               
               Provide an Online European Initiatives Platform where you can register new initiatives and collect signatures.
               
               Show an overview of all initiatives which can be broken down by topic, country and popularity.
               
               Allow originators of an initiative to get in contact with their supporters and allow all citizens to discuss and argue initiatives.
               
               Show transparently at which state each of the initiatives are and who is in charge of the next step until a final decision has been made."
End Ecocide in Europe: A Citizens’ Initiative to give the Earth Rights,2012/000012,"We invite the European Commission to adopt legislation to prohibit, prevent and pre-empt Ecocide, the extensive damage, destruction to or loss of ecosystems.
               
               1. Criminalise Ecocide and ensure that natural and legal persons can be held responsible for committing Ecocide according to the principle of superior responsibility.
               



                2. Prohibit and prevent any Ecocide on European territories or maritime territories falling under EU legislation, as well as acts outside the EU committed by EU registered legal persons or EU nationals.
                


                3. Provide for a period of transition to facilitate a sustainable economy"
European Initiative for Media Pluralism,2012/000013,"Protecting media pluralism through partial harmonisation of national rules on media ownership and transparency, conflicts of interest with political office and independence of media supervisory bodies
               
               We demand amendments to the Audiovisual Media Services Directive (or the endorsement of a new Directive) aiming at introducing harmonised rules with regard to the protection of media pluralism as necessary step towards the correct functioning of the internal market. Such legislation, in accordance with the EU Charter of Fundamental Rights, will also meet the public interest objective of maintaining a pluralist democratic debate through free exchange of ideas and information in the European Union"
"“30 km/h - making the streets liveable!""",2012/000014,"We suggest a 30km/h (20mph) EU-wide default speed limit for urban/residential areas.
               



                Local authorities may set other speed limits if they can show how environmental and safety needs of the most vulnerable road users are met.
                
                The EU has clear road safety and environmental goals but these are not yet met. A 30km/h (20mph) standard speed limit would help to implement them more efficiently as it has proven successful in reducing injuries and fatalities, noise, air pollution and CO2 emissions, and improving the traffic flow. People can travel with less fear. Environmentally friendlier modes become more attractive.
                


                To meet the subsidiarity principle, the local authorities must have the final decision to set other speed limits on their roads and implement equivalent alternatives to meet the goals"
Termination of the contract Free Movement of Persons with Switzerland,2012/000015,"NOTICE:
               
               Translated using eTranslation (the European Commission’s machine translation service) to provide content in all languages, even if machine translation may not always be 100% accurate.
               

               The Agreement between the Swiss Confederation and the European Community and its Member States on the Free Movement, signed on 21 June 1999, caused due to breach of contract by the Swiss Confederation and the Member States as well as for lack of jurisdiction to ensure legal protection for EU citizens or companies to be terminated
               
               Termination of the contract free movement of persons with Switzerland by the Council and the Member States"
Single Communication Tariff Act,2012/000016,"One unique all-inclusive, monthly flat-rate communication tariff within the boundaries of the European Union.
               
               End roaming fees across Europe now, complete the European common market for all mobile phone customers."
Unconditional Basic Income (UBI) - Exploring a pathway towards emancipatory welfare conditions in the EU,2013/000001,"Asking the Commission, to encourage cooperation between the Member States (according to Art 156 TFEU) aiming to explore the Unconditional Basic Income (UBI) as a tool to improve their respective social security systems.
               
               In the long run the objective is to offer to each person in the EU the unconditional right as an individual, to having his/her material needs met to ensure a life of dignity as stated by the EU treaties, and to empower participation in society supported by the introduction of the UBI.
               



                In the short term, initiatives such as “pilot‐studies“ (Art 156 TFEU) and examination of different models of UBI (EP resolution 2010/2039(INI) §44) should be promoted by the EU."
End Ecocide in Europe: A Citizens’ Initiative to give the Earth Rights,2013/000002,"We invite the European Commission to adopt legislation to prohibit, prevent and pre-empt Ecocide, the extensive damage to, destruction of or loss of ecosystems.
               
               1. Criminalise Ecocide and ensure that natural and legal persons can be held responsible for committing Ecocide according to the principle of superior responsibility.
               
               2. Prohibit and prevent any Ecocide on European territories or maritime territories falling under EU legislation, as well as acts outside the EU committed by EU registered legal persons or EU nationals.
               
               3. Provide for a period of transition to facilitate a sustainable economy."
