Registration_Number,Title,Year,Current_Status,Final_Outcome,Policy_Area,Signatures,Countries_Met_Threshold,Funding_EUR,Collection_Duration_Days,Registration_to_Collection_Days,Time_to_Commission_Response_Days,Reached_1M_Signatures,Met_Country_Threshold_7plus,Successful_ECI,Commission_Responded
2012/000001,Fraternité 2020 - Mobility. Progress. Europe.,2012,Unsuccessful collection,Unsuccessful Collection,Economy & Finance,,,7000.0,541.0,0.0,,False,False,False,False
2012/000002,Single Communication Tariff Act,2012,Withdrawn,Withdrawn,Other,,,,,0.0,,False,False,False,False
2012/000003,"Water and sanitation are a human right!  Water is a public good, not a commodity!",2012,Answered initiative,Commission Response,Environment,1659543.0,13.0,140000.0,540.0,0.0,678.0,True,True,True,True
2012/000004,EU Directive on Dairy Cow Welfare,2012,Withdrawn,Withdrawn,Animal Welfare,,,345567.0,,0.0,,False,False,False,False
2012/000005,One of us,2012,Answered initiative,Commission Response,Health,1721626.0,18.0,159219.0,539.0,0.0,747.0,True,True,True,True
2012/000006,Let me vote,2012,Withdrawn,Withdrawn,Rights & Democracy,,,,,0.0,,False,False,False,False
2012/000007,Stop vivisection,2012,Answered initiative,Commission Response,Animal Welfare,1173130.0,9.0,23651.0,497.0,0.0,1076.0,True,True,True,True
2012/000008,High Quality European Education for All,2012,Unsuccessful collection,Unsuccessful Collection,Education & Culture,,,17000.0,473.0,0.0,,False,False,False,False
2012/000009,For responsible management of waste incinerators against,2012,Unsuccessful collection,Unsuccessful Collection,Environment,,,,473.0,0.0,,False,False,False,False
2012/000010,Suspension of the EU Climate & Energy Package.,2012,Unsuccessful collection,Unsuccessful Collection,Environment,,,2500.0,450.0,0.0,,False,False,False,False
2012/000011,Central public online collection platform for the European Citizen Initiative,2012,Unsuccessful collection,Unsuccessful Collection,Environment,,,,431.0,0.0,,False,False,False,False
2012/000012,End Ecocide in Europe: A Citizens’ Initiative to give the Earth Rights,2012,Withdrawn,Withdrawn,Rights & Democracy,,,2291.0,,0.0,,False,False,False,False
2012/000013,European Initiative for Media Pluralism,2012,Withdrawn,Withdrawn,Rights & Democracy,,,2000.0,,0.0,,False,False,False,False
2012/000014,"“30 km/h - making the streets liveable!""",2012,Unsuccessful collection,Unsuccessful Collection,Environment,,,12050.0,365.0,0.0,,False,False,False,False
2012/000015,Termination of the contract Free Movement of Persons with Switzerland,2012,Withdrawn,Withdrawn,Other,,,150000.0,,0.0,,False,False,False,False
2012/000016,Single Communication Tariff Act,2012,Unsuccessful collection,Unsuccessful Collection,Other,,,2000.0,365.0,0.0,,False,False,False,False
2013/000001,Unconditional Basic Income (UBI) - Exploring a pathway towards emancipatory welfare conditions in the EU,2013,Unsuccessful collection,Unsuccessful Collection,Animal Welfare,,,2580.0,365.0,0.0,,False,False,False,False
2013/000002,End Ecocide in Europe: A Citizens’ Initiative to give the Earth Rights,2013,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,3324.0,365.0,0.0,,False,False,False,False
2013/000003,Let me vote,2013,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,,365.0,0.0,,False,False,False,False
2013/000004,ACT 4 Growth,2013,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,12500.0,365.0,0.0,,False,False,False,False
2013/000005,Teach for Youth -- Upgrade to Erasmus 2.0,2013,Withdrawn,Withdrawn,Economy & Finance,,,,,0.0,,False,False,False,False
2013/000006,DO NOT COUNT EDUCATION SPENDING AS PART OF THE DEFICIT! EDUCATION IS AN INVESTMENT!,2013,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,,365.0,0.0,,False,False,False,False
2013/000007,European Initiative for Media Pluralism,2013,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,2000.0,365.0,0.0,,False,False,False,False
2013/000008,Weed like to talk,2013,Unsuccessful collection,Unsuccessful Collection,Health,,,,365.0,0.0,,False,False,False,False
2013/000009,European Free Vaping Initiative,2013,Unsuccessful collection,Unsuccessful Collection,Education & Culture,,,,365.0,0.0,,False,False,False,False
2014/000001,Turn me Off!,2014,Withdrawn,Withdrawn,Environment,,,,,0.0,,False,False,False,False
