Country,Times Met Threshold,Participation Rate (%)
Germany,13,81.25
Spain,13,81.25
Netherlands,13,81.25
Belgium,12,75.0
France,11,68.75
Slovakia,10,62.5
Ireland,10,62.5
Denmark,10,62.5
Croatia,10,62.5
Austria,10,62.5
Italy,10,62.5
Finland,10,62.5
Hungary,8,50.0
Greece,7,43.75
Lithuania,7,43.75
Poland,7,43.75
Luxembourg,7,43.75
Sweden,6,37.5
Bulgaria,6,37.5
Slovenia,5,31.25
Portugal,5,31.25
Romania,5,31.25
Latvia,5,31.25
Malta,4,25.0
Czechia,4,25.0
Estonia,2,12.5
United Kingdom,1,6.25
Cyprus,1,6.25
