Policy Area,Total,Successful,Commission Response,Avg Signatures,Median Signatures,Success Rate (%)
Agriculture & Fisheries & Animal rights,14,7,6,805500,1087484,50.0
Health,10,2,1,633378,261799,20.0
Social Policy,14,2,2,691345,296365,14.29
Democracy & Citizens’ rights,23,3,1,399285,25124,13.04
Consumer protection,8,1,0,464857,8003,12.5
Environment & Climate,23,1,1,138627,6123,4.35
Digital & Communications,4,0,0,42704,42703,0.0
Economy & Finance,10,0,0,170035,159303,0.0
Education & Culture,9,0,0,1915,1485,0.0
Joke ECI,1,0,0,254,254,0.0
Transport,5,0,0,22214,22214,0.0
